Altium Designer Pick and Place Locations
C:\Jeonghyun\SNU_GIT\QSTL_MicroDSUB_FFC\QSTL_MicroDSUB_FFC\Project Outputs for QSTL_MicroDSUB_FFC\Pick Place for QSTL_MicroDSUB_FFC.csv

========================================================================================================================
File Design Information:

Date:       20-10-25
Time:       11:05
Revision:   447dfb5acd8b3f5548d65e6119190e815c183a59
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J9","503480-0540","TopLayer","FP-503480-0540-MFG","9.9750","11.0000","270","503480-0540 Connector FFC/FPC SKT 5 Position 0.5mm Solder Right Angle Surface Mount T/R"
"J8","503480-0540","TopLayer","FP-503480-0540-MFG","9.9750","23.0000","270","503480-0540 Connector FFC/FPC SKT 5 Position 0.5mm Solder Right Angle Surface Mount T/R"
"J7","503480-0540","TopLayer","FP-503480-0540-MFG","9.9750","17.0000","270","503480-0540 Connector FFC/FPC SKT 5 Position 0.5mm Solder Right Angle Surface Mount T/R"
"M4","M2 Hole","TopLayer","M2_Hole","22.0000","39.0000","0",""
"M3","M2 Hole","TopLayer","M2_Hole","4.0000","39.0000","0",""
"M2","M2 Hole","TopLayer","M2_Hole","22.0000","-1.0000","0",""
"M1","M2 Hole","TopLayer","M2_Hole","4.0000","-1.0000","0",""
"J6","503480-0540","TopLayer","FP-503480-0540-MFG","2.2750","11.0000","270","503480-0540 Connector FFC/FPC SKT 5 Position 0.5mm Solder Right Angle Surface Mount T/R"
"J5","503480-0540","TopLayer","FP-503480-0540-MFG","2.2750","23.0000","270","503480-0540 Connector FFC/FPC SKT 5 Position 0.5mm Solder Right Angle Surface Mount T/R"
"J4","503480-0540","TopLayer","FP-503480-0540-MFG","9.9750","29.0000","270","503480-0540 Connector FFC/FPC SKT 5 Position 0.5mm Solder Right Angle Surface Mount T/R"
"J3","503480-0540","TopLayer","FP-503480-0540-MFG","2.2750","17.0000","270","503480-0540 Connector FFC/FPC SKT 5 Position 0.5mm Solder Right Angle Surface Mount T/R"
"J2","503480-0540","TopLayer","FP-503480-0540-MFG","2.2750","29.0000","270","503480-0540 Connector FFC/FPC SKT 5 Position 0.5mm Solder Right Angle Surface Mount T/R"
"J1","Socket 25 P Micro DSUB","TopLayer","581-M25-213L461","18.4950","19.0000","90",""
